Epoch 1 | Loss: 108.0458 | Val Acc: 68.29%
Epoch 2 | Loss: 31.8654 | Val Acc: 78.43%
Epoch 3 | Loss: 17.3011 | Val Acc: 76.14%
Epoch 4 | Loss: 11.0341 | Val Acc: 81.14%
Epoch 5 | Loss: 8.2731 | Val Acc: 80.29%
Epoch 6 | Loss: 6.8981 | Val Acc: 82.57%
Epoch 7 | Loss: 6.8006 | Val Acc: 81.71%
Epoch 8 | Loss: 5.5527 | Val Acc: 78.43%
Epoch 9 | Loss: 5.1051 | Val Acc: 81.86%
Epoch 10 | Loss: 5.0268 | Val Acc: 83.43%
Epoch 11 | Loss: 4.6638 | Val Acc: 79.14%
Epoch 12 | Loss: 4.8010 | Val Acc: 84.14%
Epoch 13 | Loss: 6.1316 | Val Acc: 83.43%
Epoch 14 | Loss: 14.4997 | Val Acc: 78.29%
Epoch 15 | Loss: 7.6774 | Val Acc: 82.57%
Epoch 16 | Loss: 5.7154 | Val Acc: 82.57%
Epoch 17 | Loss: 5.0207 | Val Acc: 82.57%
Epoch 18 | Loss: 5.1245 | Val Acc: 84.14%
Epoch 19 | Loss: 4.6015 | Val Acc: 81.14%
Epoch 20 | Loss: 4.0507 | Val Acc: 83.00%
Epoch 21 | Loss: 4.0680 | Val Acc: 80.14%
Epoch 22 | Loss: 4.1109 | Val Acc: 81.29%
Epoch 23 | Loss: 3.9874 | Val Acc: 80.43%
Epoch 24 | Loss: 3.8833 | Val Acc: 82.00%
Epoch 25 | Loss: 3.8170 | Val Acc: 82.57%
Epoch 26 | Loss: 3.7597 | Val Acc: 81.71%
Epoch 27 | Loss: 3.9315 | Val Acc: 77.29%
Epoch 28 | Loss: 4.0655 | Val Acc: 82.86%
Epoch 29 | Loss: 4.3809 | Val Acc: 82.57%
Epoch 30 | Loss: 5.5470 | Val Acc: 79.43%
